,Base Asset,Quote Asset,Price
169,ADX,ADXETH,0.00010990
170,ADX,ADXBNB,0.00492900
171,ADA,ADABTC,0.00002226
172,ADA,ADAETH,0.00030120
173,PPT,PPTBTC,0.00001855
174,PPT,PPTETH,0.00141000
175,CMT,CMTBTC,0.00000028
176,CMT,CMTETH,0.00000625
177,CMT,CMTBNB,0.00057700
178,XLM,XLMBTC,0.00000569
179,XLM,XLMETH,0.00007690
180,XLM,XLMBNB,0.00041960
181,CND,CNDBTC,0.00000006
182,CND,CNDETH,0.00002599
183,CND,CNDBNB,0.00033990
184,LEND,LENDBTC,0.00004512
185,LEND,LENDETH,0.00137174
186,WABI,WABIBTC,0.00000296
187,WABI,WABIETH,0.00040308
188,WABI,WABIBNB,0.00024130
189,LTC,LTCETH,0.03549000
190,LTC,LTCUSDT,62.70000000
191,LTC,LTCBNB,0.19320000
192,TNB,TNBBTC,0.00000007
193,TNB,TNBETH,0.00000752
194,WAVES,WAVESBTC,0.00025800
195,WAVES,WAVESETH,0.00349500
196,WAVES,WAVESBNB,0.01900000
197,GTO,GTOBTC,0.00000106
198,GTO,GTOETH,0.00003197
199,GTO,GTOBNB,0.00035200
200,ICX,ICXBTC,0.00001418
201,ICX,ICXETH,0.00019300
202,ICX,ICXBNB,0.00465400
203,OST,OSTBTC,0.00000032
204,OST,OSTETH,0.00000225
205,OST,OSTBNB,0.00052500
206,ELF,ELFBTC,0.00000739
207,ELF,ELFETH,0.00010010
208,AION,AIONBTC,0.00000180
209,AION,AIONETH,0.00002645
210,AION,AIONBNB,0.00261300
211,NEBL,NEBLBTC,0.00002973
212,NEBL,NEBLBNB,0.01356000
213,BRD,BRDBTC,0.00000174
214,BRD,BRDETH,0.00002352
215,BRD,BRDBNB,0.00247000
216,MCO,MCOBNB,0.26837000
217,EDO,EDOBTC,0.00005609
218,EDO,EDOETH,0.00226600
219,WINGS,WINGSBTC,0.00001193
220,WINGS,WINGSETH,0.00033460
221,NAV,NAVBTC,0.00000368
222,NAV,NAVETH,0.00011870
223,NAV,NAVBNB,0.00423700
224,LUN,LUNBTC,0.00008510
225,LUN,LUNETH,0.00489100
226,TRIG,TRIGBTC,0.00001980
227,TRIG,TRIGETH,0.00059400
228,TRIG,TRIGBNB,0.01218000
229,APPC,APPCBTC,0.00000055
230,APPC,APPCETH,0.00014600
231,APPC,APPCBNB,0.00189100
232,VIBE,VIBEBTC,0.00000042
233,VIBE,VIBEETH,0.00005720
234,RLC,RLCBTC,0.00004429
235,RLC,RLCETH,0.00059900
236,RLC,RLCBNB,0.03344000
237,INS,INSBTC,0.00000618
238,INS,INSETH,0.00050100
239,PIVX,PIVXBTC,0.00000742
240,PIVX,PIVXBNB,0.01660000
241,IOST,IOSTBTC,0.00000064
242,IOST,IOSTETH,0.00000867
243,CHAT,CHATBTC,0.00000195
244,CHAT,CHATETH,0.00006585
245,STEEM,STEEMBTC,0.00001091
246,STEEM,STEEMETH,0.00014770
247,STEEM,STEEMBNB,0.00448000
248,NANO,NANOBTC,0.00006280
249,NANO,NANOETH,0.00090500
250,NANO,NANOBNB,0.05589000
251,VIA,VIABTC,0.00000681
252,VIA,VIAETH,0.00085600
253,VIA,VIABNB,0.00958000
254,BLZ,BLZBTC,0.00000442
255,BLZ,BLZETH,0.00005979
256,BLZ,BLZBNB,0.00062190
257,AE,AEBTC,0.00000292
258,AE,AEETH,0.00021900
259,AE,AEBNB,0.00777000
260,RPX,RPXBTC,0.00000224
261,RPX,RPXETH,0.00005449
262,RPX,RPXBNB,0.00145700
263,NCASH,NCASHBTC,0.00000005
264,NCASH,NCASHETH,0.00000013
265,NCASH,NCASHBNB,0.00006790
266,POA,POABTC,0.00000041
267,POA,POAETH,0.00004891
268,POA,POABNB,0.00092100
269,ZIL,ZILBTC,0.00000191
270,ZIL,ZILETH,0.00002574
271,ZIL,ZILBNB,0.00014010
272,ONT,ONTBTC,0.00001208
273,ONT,ONTETH,0.00016330
274,ONT,ONTBNB,0.00246200
275,STORM,STORMBTC,0.00000035
276,STORM,STORMETH,0.00001398
277,STORM,STORMBNB,0.00006550
278,QTUM,QTUMBNB,0.09597000
279,QTUM,QTUMUSDT,4.18600000
280,XEM,XEMBTC,0.00000219
281,XEM,XEMETH,0.00003593
282,XEM,XEMBNB,0.00244100
283,WAN,WANBTC,0.00001039
284,WAN,WANETH,0.00014080
285,WAN,WANBNB,0.00181000
286,WPR,WPRBTC,0.00000027
287,WPR,WPRETH,0.00004020
288,QLC,QLCBTC,0.00000038
289,QLC,QLCETH,0.00000603
290,SYS,SYSBTC,0.00000798
291,SYS,SYSETH,0.00011047
292,SYS,SYSBNB,0.00163500
293,QLC,QLCBNB,0.00092200
294,GRS,GRSBTC,0.00001649
295,GRS,GRSETH,0.00076455
296,ADA,ADAUSDT,0.53200000
297,ADA,ADABNB,0.00164100
298,CLOAK,CLOAKBTC,0.00015550
299,CLOAK,CLOAKETH,0.00414200
300,GNT,GNTBTC,0.00000678
301,GNT,GNTETH,0.00022071
302,GNT,GNTBNB,0.00243900
303,LOOM,LOOMBTC,0.00000212
304,LOOM,LOOMETH,0.00002868
305,LOOM,LOOMBNB,0.00088500
306,XRP,XRPUSDT,0.37930000
307,BCN,BCNBTC,0.00000022
308,BCN,BCNETH,0.00000707
309,BCN,BCNBNB,0.00002000
310,REP,REPBTC,0.00037650
311,REP,REPBNB,0.44670000
312,BTC,BTCTUSD,23876.82000000
313,TUSD,TUSDBTC,0.00025971
314,ETH,ETHTUSD,1762.51000000
315,TUSD,TUSDETH,0.00762097
316,TUSD,TUSDBNB,0.06777000
317,ZEN,ZENBTC,0.00079400
318,ZEN,ZENETH,0.01076000
319,ZEN,ZENBNB,0.05850000
320,SKY,SKYBTC,0.00000829
321,SKY,SKYETH,0.00222000
322,SKY,SKYBNB,0.03022000
